33	1	6	2	1	1	10	144
40	2	4	1	1	1	6	830
21	2	6	1	1	1	3	992
39	1	4	1	1	1	6	673
55	2	4	1	1	1	10	470
38	1	1	1	13	1	3	913
44	2	4	2	1	1	4	962
43	1	1	1	1	1	11	484
39	2	1	1	12	1	6	500
22	2	6	2	1	1	7	524
42	1	6	1	1	1	8	22
50	2	1	1	1	1	8	500
55	1	1	1	1	1	6	913
25	1	6	1	1	1	8	451
39	2	1	1	42	1	8	313
39	1	1	1	42	1	10	2
27	2	6	2	1	1	6	476
51	2	1	1	1	1	6	422
47	1	1	1	1	1	8	476
17	1	6	1	1	1	5	526
18	2	6	1	28	1	6	476
33	1	1	1	1	1	7	734
36	2	1	1	1	1	8	230
49	1	4	2	48	1	8	913
41	1	1	2	1	1	6	553
42	2	1	2	1	1	6	330
47	2	1	2	1	1	10	512
48	1	1	2	1	1	8	700
59	2	3	1	1	1	6	472
29	1	1	1	1	1	5	470
27	2	1	1	1	1	8	341
48	2	4	1	1	1	6	540
74	1	1	1	1	1	6	20
72	2	1	1	1	1	6	476
44	2	1	1	1	1	8	471
47	1	1	1	1	1	10	232
51	2	6	2	1	1	11	200
54	2	5	1	1	1	7	470
51	1	1	1	1	1	8	913
58	2	1	1	1	1	6	472
60	2	5	1	54	1	8	570
39	2	5	1	1	1	6	401
17	2	6	1	1	1	3	415
17	2	6	1	22	1	5	472
39	1	4	1	13	1	8	714
34	2	6	1	1	1	8	214
57	1	4	1	1	1	6	154
57	1	1	1	13	1	3	52
58	2	1	1	1	1	4	570
29	2	4	1	1	1	6	474
46	2	1	2	1	1	6	423
50	1	1	2	1	1	5	962
56	1	6	2	1	1	6	422
65	1	1	2	1	1	8	626
64	2	1	2	1	1	6	402
59	2	1	1	1	1	8	1
33	1	4	1	1	1	8	770
35	1	1	1	24	1	11	84
31	2	1	1	22	1	8	512
74	1	1	1	1	1	8	485
25	2	6	1	1	1	6	584
56	2	6	1	1	1	8	284
60	1	5	1	1	1	8	204
29	1	6	1	1	1	6	865
74	1	1	1	1	1	6	392
61	1	1	1	1	1	4	913
32	1	6	2	1	1	6	623
58	2	4	2	1	1	5	401
31	1	1	1	1	1	11	325
28	2	1	1	1	11	11	231
74	2	5	1	1	1	6	570
62	1	1	1	1	1	11	640
60	2	1	1	1	1	7	231
37	2	4	2	1	1	6	402
47	1	1	1	1	1	8	720
32	1	6	1	23	1	2	972
27	1	6	1	23	1	6	962
47	2	4	1	1	1	6	570
29	2	2	1	1	1	7	472
62	1	1	1	42	1	6	485
42	1	6	1	1	1	6	354
41	1	4	1	1	1	6	913
38	2	4	1	1	1	6	402
18	2	6	1	1	1	6	494
56	2	1	1	12	12	10	101
56	1	1	1	1	1	11	106
23	2	1	1	1	1	7	540
26	1	1	1	1	1	8	770
48	2	4	1	1	1	8	313
20	2	6	1	1	1	8	526
49	1	6	1	48	1	8	865
54	2	1	1	18	1	6	476
55	1	1	1	39	1	8	476
31	1	6	1	1	74	7	392
69	1	1	1	1	1	2	815
21	2	6	1	48	1	7	992
24	2	4	1	48	1	8	570
59	1	1	1	40	1	11	306
59	1	1	1	13	1	8	770
26	2	1	1	1	1	8	313
32	1	1	1	28	1	8	14
28	2	6	2	1	1	8	554
41	1	4	1	37	1	11	903
45	2	1	1	2	1	6	71
47	1	1	1	1	1	6	770
23	2	6	1	1	1	8	470
16	2	6	1	1	1	3	425
22	2	6	2	1	1	8	472
66	1	1	1	1	1	10	770
58	1	1	1	28	1	10	552
57	2	1	1	1	1	8	570
40	1	3	1	1	1	8	623
50	1	1	1	1	1	8	21
48	2	1	1	6	1	8	263
37	1	4	1	42	1	6	586
24	2	1	1	1	1	11	80
27	1	1	1	1	1	6	421
59	1	1	1	1	1	10	1
65	1	1	1	28	1	11	485
60	2	1	1	26	1	6	512
45	1	1	1	47	1	7	500
77	1	1	2	1	1	11	913
52	1	2	1	54	1	8	561
42	2	2	1	1	1	6	470
28	1	1	1	36	1	7	913
28	1	1	7	110	12	8	983
29	2	1	7	110	12	8	350
65	1	4	1	28	1	5	94
33	1	6	1	1	1	6	896
32	1	1	2	1	1	8	62
32	2	1	2	1	1	11	233
43	2	4	1	1	1	7	365
16	1	6	1	1	1	3	992
50	1	1	8	1	1	2	962
32	2	6	1	1	1	7	350
35	1	4	1	1	1	5	624
37	1	1	2	21	1	10	5
63	1	1	1	1	1	2	836
61	2	4	1	31	1	8	470
68	1	1	1	1	1	3	913
53	1	1	1	1	1	8	635
44	2	1	7	28	1	8	470
28	1	3	8	28	1	8	500
31	1	1	1	1	1	6	721
30	2	1	1	1	1	6	570
43	2	1	1	1	1	8	570
46	1	1	1	1	1	7	720
48	2	1	1	1	1	8	53
51	1	1	1	1	1	5	562
61	1	1	1	1	1	8	531
29	2	1	1	1	1	10	62
32	1	1	1	1	1	8	385
31	1	6	1	1	1	10	231
37	1	1	1	455	1	11	306
32	2	1	1	21	1	11	305
36	1	1	7	1	1	6	814
35	2	1	2	1	1	6	850
37	1	6	1	1	1	2	646
45	2	1	2	1	1	10	62
43	1	1	2	1	1	6	874
35	1	1	1	1	1	10	102
34	2	1	1	1	1	8	500
49	1	1	1	34	1	11	290
47	2	1	1	34	1	11	215
35	2	3	2	1	1	4	360
57	2	6	1	1	1	6	570
34	2	6	2	1	1	6	411
17	1	6	2	1	1	5	405
62	1	1	1	1	1	2	43
38	1	4	1	1	1	6	635
38	2	4	1	1	1	6	430
31	2	6	1	1	1	8	313
29	2	6	1	1	1	10	351
56	2	4	1	1	1	3	570
48	2	4	1	411	1	6	472
43	2	4	2	1	1	8	401
26	2	4	2	1	1	6	380
26	1	1	1	1	1	4	913
24	2	1	1	1	1	6	496
36	1	1	1	1	1	6	736
41	2	1	1	21	1	6	500
60	1	1	1	1	1	2	913
37	2	6	2	47	1	8	570
43	1	1	2	1	1	8	375
38	2	1	2	1	1	8	962
18	2	6	2	1	1	6	992
53	1	1	1	1	1	6	470
52	2	1	1	1	1	8	524
18	1	6	1	1	1	5	562
35	1	1	1	1	1	11	306
32	2	1	1	1	1	11	35
25	1	4	1	1	12	8	586
72	2	1	1	1	1	11	313
65	1	1	1	1	1	7	806
62	1	1	1	1	1	6	826
53	2	1	1	1	1	6	570
44	1	4	1	29	1	6	814
46	2	1	1	1	1	11	23
53	1	1	1	1	1	11	23
19	1	6	1	1	1	7	425
